Strain,Stress
0.202034254,304.7507993
0.202551792,304.5712706
0.203070622,304.3902431
0.203592132,304.2080347
0.204115502,304.0241859
0.20464152,303.8377925
0.205167049,303.6511412
0.205691714,303.4624982
0.206218297,303.2724849
0.206744347,303.0810432
0.207274012,302.8881715
0.20780832,302.6935852
0.208344157,302.4976711
0.208878775,302.3004555
0.20941205,302.1007833
0.209948698,301.8991973
0.210480289,301.6955163
0.211016024,301.4889839
0.211017024,0
